NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_006EA,,B01001_006EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_006EA,,B01001_006EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_006EA,,B01001_006EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_006M,,B01001_006M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_006M,,B01001_006M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_006M,,B01001_006M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_006M,,B01001_006M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_006M,,B01001_006M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_006M,,B01001_006M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_006MA,,B01001_006MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_006MA,,B01001_006MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_006MA,,B01001_006MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_006MA,,B01001_006MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_006MA,,B01001_006MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_006MA,,B01001_006MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_007E,,B01001_007E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_007E,,B01001_007E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_007E,,B01001_007E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_007E,,B01001_007E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_007E,,B01001_007E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_007E,,B01001_007E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_007EA,,B01001_007EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_007EA,,B01001_007EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_007EA,,B01001_007EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_007EA,,B01001_007EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_007EA,,B01001_007EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_007EA,,B01001_007EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_007M,,B01001_007M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_007M,,B01001_007M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_007M,,B01001_007M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_007M,,B01001_007M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_007M,,B01001_007M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_007M,,B01001_007M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_007MA,,B01001_007MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_007MA,,B01001_007MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_007MA,,B01001_007MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_007MA,,B01001_007MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_007MA,,B01001_007MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_007MA,,B01001_007MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_008E,,B01001_008E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_008E,,B01001_008E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_008E,,B01001_008E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_008E,,B01001_008E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_008E,,B01001_008E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_008E,,B01001_008E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_008EA,,B01001_008EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_008EA,,B01001_008EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_008EA,,B01001_008EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_008EA,,B01001_008EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_008EA,,B01001_008EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_008EA,,B01001_008EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_008M,,B01001_008M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_008M,,B01001_008M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_008M,,B01001_008M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_008M,,B01001_008M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_008M,,B01001_008M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_008M,,B01001_008M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_008MA,,B01001_008MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_008MA,,B01001_008MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_008MA,,B01001_008MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_008MA,,B01001_008MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_008MA,,B01001_008MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_008MA,,B01001_008MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_009E,,B01001_009E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_009E,,B01001_009E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_009E,,B01001_009E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_009E,,B01001_009E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_009E,,B01001_009E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_009E,,B01001_009E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_009EA,,B01001_009EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_009EA,,B01001_009EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_009EA,,B01001_009EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_009EA,,B01001_009EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_009EA,,B01001_009EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_009EA,,B01001_009EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_009M,,B01001_009M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_009M,,B01001_009M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_009M,,B01001_009M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_009M,,B01001_009M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_009M,,B01001_009M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_009M,,B01001_009M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_009MA,,B01001_009MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_009MA,,B01001_009MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_009MA,,B01001_009MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_009MA,,B01001_009MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_009MA,,B01001_009MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_009MA,,B01001_009MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_010E,,B01001_010E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_010E,,B01001_010E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_010E,,B01001_010E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_010E,,B01001_010E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_010E,,B01001_010E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_010E,,B01001_010E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_010EA,,B01001_010EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_010EA,,B01001_010EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_010EA,,B01001_010EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_010EA,,B01001_010EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_010EA,,B01001_010EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_010EA,,B01001_010EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_010M,,B01001_010M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_010M,,B01001_010M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_010M,,B01001_010M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_010M,,B01001_010M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_010M,,B01001_010M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_010M,,B01001_010M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_010MA,,B01001_010MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_010MA,,B01001_010MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_010MA,,B01001_010MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_010MA,,B01001_010MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_010MA,,B01001_010MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_010MA,,B01001_010MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_011E,,B01001_011E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_011E,,B01001_011E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_011E,,B01001_011E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_011E,,B01001_011E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_011E,,B01001_011E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_011E,,B01001_011E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_011EA,,B01001_011EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_011EA,,B01001_011EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_011EA,,B01001_011EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_011EA,,B01001_011EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_011EA,,B01001_011EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_011EA,,B01001_011EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_011M,,B01001_011M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_011M,,B01001_011M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_011M,,B01001_011M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_011M,,B01001_011M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_011M,,B01001_011M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_011M,,B01001_011M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_011MA,,B01001_011MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_011MA,,B01001_011MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_011MA,,B01001_011MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_011MA,,B01001_011MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_011MA,,B01001_011MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_011MA,,B01001_011MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_012E,,B01001_012E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_012E,,B01001_012E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_012E,,B01001_012E
