NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2023,Sex by Age (full),US,B01001_008EA,,B01001_008EA
United States,1,2018,Sex by Age (full),US,B01001_008M,12358.0,B01001_008M
United States,1,2019,Sex by Age (full),US,B01001_008M,13695.0,B01001_008M
United States,1,2020,Sex by Age (full),US,B01001_008M,13432.0,B01001_008M
United States,1,2021,Sex by Age (full),US,B01001_008M,12098.0,B01001_008M
United States,1,2022,Sex by Age (full),US,B01001_008M,12572.0,B01001_008M
United States,1,2023,Sex by Age (full),US,B01001_008M,13115.0,B01001_008M
United States,1,2018,Sex by Age (full),US,B01001_008MA,,B01001_008MA
United States,1,2019,Sex by Age (full),US,B01001_008MA,,B01001_008MA
United States,1,2020,Sex by Age (full),US,B01001_008MA,,B01001_008MA
United States,1,2021,Sex by Age (full),US,B01001_008MA,,B01001_008MA
United States,1,2022,Sex by Age (full),US,B01001_008MA,,B01001_008MA
United States,1,2023,Sex by Age (full),US,B01001_008MA,,B01001_008MA
United States,1,2018,Sex by Age (full),US,B01001_009E,2329234.0,B01001_009E
United States,1,2019,Sex by Age (full),US,B01001_009E,2303286.0,B01001_009E
United States,1,2020,Sex by Age (full),US,B01001_009E,2270025.0,B01001_009E
United States,1,2021,Sex by Age (full),US,B01001_009E,2242166.0,B01001_009E
United States,1,2022,Sex by Age (full),US,B01001_009E,2326225.0,B01001_009E
United States,1,2023,Sex by Age (full),US,B01001_009E,2228358.0,B01001_009E
United States,1,2018,Sex by Age (full),US,B01001_009EA,,B01001_009EA
United States,1,2019,Sex by Age (full),US,B01001_009EA,,B01001_009EA
United States,1,2020,Sex by Age (full),US,B01001_009EA,,B01001_009EA
United States,1,2021,Sex by Age (full),US,B01001_009EA,,B01001_009EA
United States,1,2022,Sex by Age (full),US,B01001_009EA,,B01001_009EA
United States,1,2023,Sex by Age (full),US,B01001_009EA,,B01001_009EA
United States,1,2018,Sex by Age (full),US,B01001_009M,12066.0,B01001_009M
United States,1,2019,Sex by Age (full),US,B01001_009M,14015.0,B01001_009M
United States,1,2020,Sex by Age (full),US,B01001_009M,12005.0,B01001_009M
United States,1,2021,Sex by Age (full),US,B01001_009M,14427.0,B01001_009M
United States,1,2022,Sex by Age (full),US,B01001_009M,13955.0,B01001_009M
United States,1,2023,Sex by Age (full),US,B01001_009M,13710.0,B01001_009M
United States,1,2018,Sex by Age (full),US,B01001_009MA,,B01001_009MA
