NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2018,Median Age,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2019,Median Age,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2020,Median Age,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2021,Median Age,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2022,Median Age,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2023,Median Age,City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2018,Sex by Age (full),City,B01001_003E,15397.0,B01001_003E
"Long Beach city, California",06,43000,2019,Sex by Age (full),City,B01001_003E,14996.0,B01001_003E
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_003E,13754.0,B01001_003E
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_003E,13121.0,B01001_003E
