NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_008EA,,B01001_008EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_008EA,,B01001_008EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_008EA,,B01001_008EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_008EA,,B01001_008EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_008M,,B01001_008M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_008M,,B01001_008M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_008M,,B01001_008M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_008M,,B01001_008M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_008M,,B01001_008M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_008M,,B01001_008M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_008MA,,B01001_008MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_008MA,,B01001_008MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_008MA,,B01001_008MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_008MA,,B01001_008MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_008MA,,B01001_008MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_008MA,,B01001_008MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_009E,,B01001_009E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_009E,,B01001_009E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_009E,,B01001_009E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_009E,,B01001_009E
